idx,class
7336,NoWhale
6705,RightWhale
6577,NoWhale
3351,RightWhale
5082,RightWhale
3405,RightWhale
7067,RightWhale
3495,RightWhale
8823,NoWhale
1901,NoWhale
8675,RightWhale
4705,RightWhale
1569,NoWhale
9080,RightWhale
347,RightWhale
1242,RightWhale
420,RightWhale
9298,NoWhale
4081,RightWhale
4974,NoWhale
4518,NoWhale
7624,RightWhale
9545,RightWhale
1031,RightWhale
2930,RightWhale
10021,NoWhale
5822,RightWhale
3609,NoWhale
9161,NoWhale
763,RightWhale
7803,RightWhale
8067,RightWhale
9691,RightWhale
1222,RightWhale
6231,RightWhale
2134,RightWhale
5659,NoWhale
5532,NoWhale
3148,NoWhale
6394,RightWhale
1575,NoWhale
509,RightWhale
8539,NoWhale
9769,NoWhale
2304,RightWhale
3353,RightWhale
4448,NoWhale
10512,NoWhale
1259,RightWhale
7977,RightWhale
5819,NoWhale
6855,NoWhale
711,NoWhale
7799,RightWhale
9992,RightWhale
2485,RightWhale
8864,RightWhale
7771,NoWhale
1372,NoWhale
712,RightWhale
4580,NoWhale
8715,RightWhale
4132,RightWhale
9782,RightWhale
8294,RightWhale
1482,NoWhale
7774,NoWhale
6440,RightWhale
4411,NoWhale
1794,NoWhale
5739,NoWhale
1821,NoWhale
7053,RightWhale
9419,RightWhale
9244,RightWhale
3746,NoWhale
1741,NoWhale
1658,NoWhale
212,NoWhale
9622,NoWhale
3013,NoWhale
323,RightWhale
10309,NoWhale
1097,NoWhale
9666,RightWhale
1359,NoWhale
334,NoWhale
10521,RightWhale
1613,RightWhale
4643,NoWhale
792,RightWhale
233,NoWhale
10161,RightWhale
8463,NoWhale
6854,NoWhale
3403,NoWhale
9947,NoWhale
9695,RightWhale
5267,NoWhale
10635,NoWhale
7078,NoWhale
3467,NoWhale
2413,RightWhale
3378,RightWhale
4031,NoWhale
4862,NoWhale
871,RightWhale
10172,NoWhale
1263,NoWhale
1618,RightWhale
5692,RightWhale
5826,RightWhale
5582,RightWhale
6926,NoWhale
5650,RightWhale
2868,NoWhale
1220,NoWhale
6821,RightWhale
1765,NoWhale
8157,RightWhale
4053,RightWhale
6575,RightWhale
7399,NoWhale
1513,NoWhale
9635,RightWhale
2613,RightWhale
5702,RightWhale
3329,NoWhale
8411,NoWhale
7246,RightWhale
5928,NoWhale
10119,RightWhale
9423,NoWhale
2110,NoWhale
2375,RightWhale
8353,RightWhale
7459,NoWhale
5268,NoWhale
8054,RightWhale
9601,RightWhale
10334,RightWhale
10319,RightWhale
4250,RightWhale
617,RightWhale
2523,RightWhale
9924,NoWhale
8911,NoWhale
7485,NoWhale
7602,NoWhale
745,NoWhale
6372,NoWhale
8097,RightWhale
6178,RightWhale
8281,RightWhale
8622,NoWhale
9704,NoWhale
1336,RightWhale
5081,RightWhale
10190,NoWhale
4393,RightWhale
8295,RightWhale
7709,NoWhale
6604,NoWhale
8618,NoWhale
3895,NoWhale
1313,NoWhale
7315,NoWhale
10612,NoWhale
2955,RightWhale
9568,RightWhale
3071,NoWhale
7346,RightWhale
7142,NoWhale
4884,NoWhale
8699,NoWhale
653,NoWhale
8868,RightWhale
2269,NoWhale
8770,RightWhale
10568,NoWhale
5714,RightWhale
7255,RightWhale
7136,RightWhale
6250,RightWhale
5378,NoWhale
611,RightWhale
6536,NoWhale
2114,NoWhale
9176,RightWhale
4955,RightWhale
5424,RightWhale
511,RightWhale
6923,RightWhale
5527,RightWhale
9534,NoWhale
7662,NoWhale
10815,NoWhale
3884,NoWhale
7143,NoWhale
8330,RightWhale
5153,NoWhale
8409,NoWhale
7762,RightWhale
5125,NoWhale
7283,RightWhale
4762,NoWhale
5402,RightWhale
10834,NoWhale
4665,NoWhale
5730,NoWhale
1109,RightWhale
6901,RightWhale
6101,RightWhale
1038,RightWhale
20,RightWhale
4573,RightWhale
3090,RightWhale
6225,RightWhale
8085,RightWhale
934,NoWhale
4291,NoWhale
4442,RightWhale
394,NoWhale
3048,NoWhale
1737,NoWhale
2165,NoWhale
561,NoWhale
10849,RightWhale
1162,NoWhale
6840,RightWhale
9761,NoWhale
3937,RightWhale
1527,NoWhale
842,RightWhale
7844,RightWhale
58,RightWhale
3412,NoWhale
5461,RightWhale
2291,NoWhale
9886,NoWhale
7256,NoWhale
3047,NoWhale
3501,NoWhale
6749,NoWhale
10477,RightWhale
10650,RightWhale
6032,RightWhale
414,RightWhale
10395,RightWhale
7974,RightWhale
6957,NoWhale
7105,RightWhale
10422,RightWhale
9153,RightWhale
6876,RightWhale
9806,RightWhale
7910,RightWhale
7614,RightWhale
5503,NoWhale
2133,NoWhale
1897,RightWhale
6663,NoWhale
3869,RightWhale
7944,NoWhale
6669,RightWhale
8499,NoWhale
6912,RightWhale
6639,NoWhale
1817,NoWhale
1937,RightWhale
3418,NoWhale
2335,RightWhale
2072,NoWhale
7594,NoWhale
1726,RightWhale
1047,NoWhale
4392,NoWhale
8798,NoWhale
2320,NoWhale
6363,RightWhale
9745,RightWhale
766,RightWhale
2807,NoWhale
1144,NoWhale
10866,RightWhale
9269,NoWhale
2273,NoWhale
4137,NoWhale
5092,NoWhale
6403,NoWhale
4421,NoWhale
3739,NoWhale
1989,NoWhale
3550,RightWhale
4353,NoWhale
828,NoWhale
7810,RightWhale
1672,NoWhale
9063,RightWhale
9213,NoWhale
6921,RightWhale
9070,RightWhale
6419,RightWhale
2275,NoWhale
4144,NoWhale
5551,RightWhale
2045,RightWhale
7681,NoWhale
9868,RightWhale
3441,NoWhale
1295,NoWhale
7530,RightWhale
591,NoWhale
221,NoWhale
6592,RightWhale
6782,RightWhale
9001,NoWhale
858,RightWhale
7669,NoWhale
3771,RightWhale
5617,NoWhale
841,NoWhale
4140,NoWhale
4513,NoWhale
4710,RightWhale
9343,NoWhale
994,NoWhale
9649,NoWhale
1554,RightWhale
6180,NoWhale
4354,RightWhale
4645,NoWhale
10678,NoWhale
8747,RightWhale
6877,RightWhale
5165,RightWhale
7411,RightWhale
2513,NoWhale
4503,RightWhale
8138,RightWhale
8209,NoWhale
3704,RightWhale
3325,RightWhale
5676,NoWhale
2233,RightWhale
6662,RightWhale
400,RightWhale
9529,RightWhale
4028,RightWhale
4826,RightWhale
6306,RightWhale
3573,RightWhale
7677,RightWhale
2952,RightWhale
59,RightWhale
7313,NoWhale
5265,RightWhale
9995,RightWhale
4562,NoWhale
1328,NoWhale
3024,NoWhale
2956,NoWhale
10026,NoWhale
4084,RightWhale
1550,RightWhale
1009,NoWhale
2554,RightWhale
1612,RightWhale
10802,RightWhale
3487,NoWhale
7047,RightWhale
648,NoWhale
879,RightWhale
10475,RightWhale
2303,RightWhale
5214,RightWhale
1624,RightWhale
550,RightWhale
8235,RightWhale
6221,RightWhale
3231,RightWhale
5120,NoWhale
211,NoWhale
3997,RightWhale
4730,NoWhale
8794,NoWhale
4768,RightWhale
3909,RightWhale
1438,NoWhale
2515,RightWhale
9034,NoWhale
5479,NoWhale
9196,RightWhale
696,NoWhale
7775,RightWhale
5573,RightWhale
7249,NoWhale
8804,RightWhale
1314,NoWhale
5649,RightWhale
10697,NoWhale
3101,RightWhale
12,NoWhale
6191,NoWhale
10068,RightWhale
1346,RightWhale
10763,NoWhale
453,NoWhale
5235,NoWhale
7030,RightWhale
9312,NoWhale
10517,NoWhale
8344,NoWhale
37,RightWhale
1043,NoWhale
10712,RightWhale
940,NoWhale
8944,RightWhale
4667,RightWhale
4052,NoWhale
4265,NoWhale
538,RightWhale
7764,NoWhale
4099,RightWhale
1400,RightWhale
5608,NoWhale
5589,NoWhale
2267,NoWhale
9486,RightWhale
6685,RightWhale
2470,NoWhale
7410,NoWhale
3787,NoWhale
7366,NoWhale
6586,NoWhale
4867,NoWhale
4537,RightWhale
8269,NoWhale
8008,RightWhale
1108,NoWhale
7514,NoWhale
9910,NoWhale
4023,RightWhale
5807,NoWhale
10391,RightWhale
5653,NoWhale
1739,NoWhale
9482,NoWhale
6962,NoWhale
898,NoWhale
9011,NoWhale
9777,NoWhale
7708,RightWhale
2816,NoWhale
6389,NoWhale
3813,NoWhale
1563,RightWhale
9020,RightWhale
7665,RightWhale
10800,RightWhale
4685,RightWhale
3286,RightWhale
8689,RightWhale
9797,NoWhale
10149,RightWhale
4783,NoWhale
3034,NoWhale
8355,NoWhale
9581,RightWhale
7534,NoWhale
9974,NoWhale
6920,RightWhale
10087,RightWhale
2213,RightWhale
833,NoWhale
7825,NoWhale
8751,NoWhale
3126,RightWhale
3434,NoWhale
6073,NoWhale
8513,RightWhale
9926,NoWhale
1743,NoWhale
9489,RightWhale
7920,NoWhale
3290,NoWhale
3447,NoWhale
9899,RightWhale
8233,RightWhale
10751,NoWhale
2543,NoWhale
930,RightWhale
3433,RightWhale
1197,NoWhale
6114,NoWhale
4189,NoWhale
7627,RightWhale
1429,NoWhale
7335,NoWhale
7685,NoWhale
1153,RightWhale
3958,RightWhale
10606,NoWhale
2769,RightWhale
5261,NoWhale
5422,NoWhale
8846,NoWhale
964,NoWhale
9640,RightWhale
8501,NoWhale
6751,NoWhale
2698,NoWhale
9194,NoWhale
2943,RightWhale
1483,RightWhale
5716,NoWhale
5363,NoWhale
5766,RightWhale
10734,NoWhale
1426,RightWhale
2544,RightWhale
10276,NoWhale
5593,NoWhale
10587,RightWhale
2178,RightWhale
10134,RightWhale
9614,NoWhale
1057,NoWhale
5064,RightWhale
3404,NoWhale
4067,RightWhale
8750,RightWhale
4022,NoWhale
10890,NoWhale
1544,RightWhale
4043,NoWhale
7563,NoWhale
6951,NoWhale
6277,RightWhale
724,NoWhale
8767,RightWhale
6075,NoWhale
6627,NoWhale
1127,RightWhale
4201,RightWhale
6224,RightWhale
5805,RightWhale
1586,RightWhale
4519,RightWhale
3133,NoWhale
9923,NoWhale
1561,RightWhale
4254,RightWhale
5594,RightWhale
8418,NoWhale
6386,NoWhale
8104,NoWhale
10894,NoWhale
5837,NoWhale
8650,NoWhale
8687,RightWhale
9351,NoWhale
5391,RightWhale
3314,NoWhale
7766,NoWhale
7223,RightWhale
9068,RightWhale
3532,RightWhale
8614,RightWhale
2605,RightWhale
4868,NoWhale
1392,RightWhale
7458,RightWhale
752,NoWhale
5846,NoWhale
8891,RightWhale
3772,RightWhale
9350,RightWhale
1777,NoWhale
17,NoWhale
1770,RightWhale
1888,NoWhale
8576,RightWhale
1642,NoWhale
9327,RightWhale
2316,RightWhale
9846,NoWhale
132,NoWhale
8786,NoWhale
3281,RightWhale
4217,RightWhale
4587,NoWhale
8778,RightWhale
1095,NoWhale
7299,NoWhale
4766,NoWhale
527,RightWhale
5836,NoWhale
2002,NoWhale
4575,RightWhale
168,NoWhale
7109,RightWhale
10623,NoWhale
7040,NoWhale
1919,RightWhale
701,RightWhale
6435,RightWhale
7567,RightWhale
5652,RightWhale
9608,NoWhale
5111,RightWhale
3125,NoWhale
6014,RightWhale
2766,NoWhale
7550,RightWhale
772,RightWhale
1298,RightWhale
10705,NoWhale
1352,RightWhale
2926,NoWhale
10841,RightWhale
8531,NoWhale
1287,RightWhale
9386,RightWhale
9942,RightWhale
8982,NoWhale
4128,RightWhale
5364,RightWhale
2013,RightWhale
7194,NoWhale
4332,RightWhale
5271,NoWhale
7562,NoWhale
4682,NoWhale
2147,NoWhale
4782,RightWhale
3668,RightWhale
8063,RightWhale
4695,RightWhale
5183,RightWhale
449,RightWhale
7640,NoWhale
6087,RightWhale
8953,NoWhale
5210,NoWhale
7881,RightWhale
9661,NoWhale
810,RightWhale
3833,RightWhale
7816,RightWhale
4921,RightWhale
10518,NoWhale
2073,RightWhale
7093,RightWhale
7976,RightWhale
7812,NoWhale
1477,NoWhale
1790,NoWhale
2333,NoWhale
2008,RightWhale
682,NoWhale
4100,NoWhale
5033,NoWhale
2859,NoWhale
10432,RightWhale
57,RightWhale
3063,RightWhale
4989,RightWhale
8094,NoWhale
2399,NoWhale
7778,NoWhale
46,NoWhale
30,RightWhale
4202,RightWhale
5071,RightWhale
7044,NoWhale
1468,NoWhale
1665,NoWhale
1416,NoWhale
4702,RightWhale
2358,NoWhale
5718,NoWhale
3973,RightWhale
3469,NoWhale
6237,NoWhale
9280,RightWhale
6407,RightWhale
429,NoWhale
6335,NoWhale
7840,RightWhale
385,NoWhale
1945,RightWhale
9440,RightWhale
9543,NoWhale
10024,NoWhale
473,RightWhale
9731,NoWhale
6423,NoWhale
3263,NoWhale
7300,NoWhale
7893,RightWhale
578,NoWhale
1055,RightWhale
2281,RightWhale
9845,NoWhale
4908,NoWhale
10585,NoWhale
3562,RightWhale
7013,NoWhale
6148,RightWhale
811,NoWhale
8142,NoWhale
9724,NoWhale
10236,NoWhale
5421,RightWhale
9710,RightWhale
10038,NoWhale
3045,NoWhale
3032,NoWhale
111,NoWhale
8916,RightWhale
9756,NoWhale
9679,RightWhale
4401,NoWhale
1745,NoWhale
5128,RightWhale
1452,RightWhale
2149,NoWhale
319,RightWhale
8816,NoWhale
3952,NoWhale
2673,RightWhale
1922,RightWhale
7066,NoWhale
9729,RightWhale
6330,NoWhale
7636,RightWhale
3984,NoWhale
2129,NoWhale
10778,NoWhale
6535,RightWhale
10762,NoWhale
7972,NoWhale
8579,NoWhale
7935,NoWhale
4631,NoWhale
8091,NoWhale
1052,NoWhale
8064,RightWhale
5003,RightWhale
4791,NoWhale
99,NoWhale
7698,RightWhale
1456,RightWhale
361,RightWhale
812,RightWhale
1092,RightWhale
10746,NoWhale
4453,NoWhale
4747,RightWhale
5156,RightWhale
7417,NoWhale
7770,RightWhale
6080,NoWhale
1414,RightWhale
540,NoWhale
7012,RightWhale
4797,RightWhale
1146,RightWhale
7952,NoWhale
754,RightWhale
4336,RightWhale
5635,RightWhale
5259,NoWhale
4860,NoWhale
5453,RightWhale
10153,NoWhale
10416,NoWhale
3130,NoWhale
2957,NoWhale
8526,NoWhale
8468,NoWhale
6333,RightWhale
5942,RightWhale
4436,RightWhale
2608,NoWhale
4065,NoWhale
3905,NoWhale
9796,RightWhale
9279,RightWhale
6507,NoWhale
4076,RightWhale
5298,RightWhale
5553,RightWhale
601,RightWhale
6382,RightWhale
10204,RightWhale
4220,RightWhale
4718,RightWhale
5840,RightWhale
5979,RightWhale
10539,NoWhale
1044,RightWhale
8504,RightWhale
1557,RightWhale
4707,NoWhale
1487,NoWhale
4629,NoWhale
180,NoWhale
10060,RightWhale
10131,NoWhale
2115,RightWhale
1699,NoWhale
1379,NoWhale
3470,NoWhale
2404,RightWhale
1395,NoWhale
7268,RightWhale
618,NoWhale
10200,RightWhale
10772,NoWhale
1600,RightWhale
6908,RightWhale
7176,RightWhale
1615,RightWhale
9625,RightWhale
438,NoWhale
4807,RightWhale
2083,RightWhale
9770,RightWhale
4467,RightWhale
6179,NoWhale
5972,NoWhale
7169,NoWhale
9626,NoWhale
8193,RightWhale
3288,NoWhale
2545,NoWhale
6029,NoWhale
9122,RightWhale
10390,RightWhale
1918,RightWhale
9118,RightWhale
6001,RightWhale
6878,NoWhale
6497,RightWhale
6200,NoWhale
7620,NoWhale
2054,RightWhale
7889,RightWhale
10082,RightWhale
2362,NoWhale
3014,NoWhale
2225,NoWhale
6718,NoWhale
4851,RightWhale
1126,RightWhale
5114,NoWhale
5547,RightWhale
4845,RightWhale
3928,NoWhale
2444,NoWhale
10933,NoWhale
1322,NoWhale
1603,NoWhale
9203,NoWhale
8550,NoWhale
9430,RightWhale
5224,RightWhale
7965,NoWhale
9195,RightWhale
10535,RightWhale
6025,NoWhale
2290,RightWhale
10226,RightWhale
3482,NoWhale
1507,NoWhale
6312,NoWhale
1559,RightWhale
5642,NoWhale
7991,NoWhale
6486,NoWhale
8940,RightWhale
4149,RightWhale
1836,RightWhale
5506,RightWhale
8115,RightWhale
981,NoWhale
9172,RightWhale
1354,NoWhale
2870,RightWhale
45,RightWhale
2542,NoWhale
10405,NoWhale
748,RightWhale
7263,NoWhale
3538,RightWhale
6623,NoWhale
4007,NoWhale
4139,RightWhale
5616,NoWhale
9586,NoWhale
535,RightWhale
7338,NoWhale
7319,RightWhale
6249,RightWhale
6699,RightWhale
2251,RightWhale
1025,RightWhale
3728,NoWhale
6138,RightWhale
9727,NoWhale
10042,RightWhale
3458,NoWhale
9794,RightWhale
8485,RightWhale
10566,NoWhale
10234,RightWhale
10548,NoWhale
5974,RightWhale
664,RightWhale
3413,RightWhale
2889,RightWhale
9008,NoWhale
2970,NoWhale
9991,NoWhale
5254,RightWhale
4419,RightWhale
4843,NoWhale
10507,NoWhale
10056,RightWhale
4649,RightWhale
675,NoWhale
8697,NoWhale
8774,NoWhale
6109,NoWhale
8248,RightWhale
4899,RightWhale
8581,NoWhale
3035,RightWhale
1962,RightWhale
1840,RightWhale
5079,NoWhale
4309,RightWhale
9693,RightWhale
6802,NoWhale
10684,NoWhale
9648,RightWhale
3698,NoWhale
9739,NoWhale
4630,NoWhale
7472,NoWhale
8132,NoWhale
8337,NoWhale
411,RightWhale
613,RightWhale
10782,NoWhale
6648,NoWhale
8556,RightWhale
1430,NoWhale
9898,NoWhale
10343,NoWhale
4773,NoWhale
4740,RightWhale
10448,RightWhale
10014,RightWhale
4169,RightWhale
1417,RightWhale
4982,NoWhale
604,RightWhale
1272,NoWhale
4852,NoWhale
7659,RightWhale
4123,NoWhale
8845,NoWhale
4754,NoWhale
247,RightWhale
5216,NoWhale
2900,NoWhale
1982,RightWhale
9654,RightWhale
6831,NoWhale
199,RightWhale
4863,NoWhale
485,NoWhale
2879,RightWhale
7498,RightWhale
7318,RightWhale
9227,RightWhale
2823,NoWhale
455,RightWhale
10715,NoWhale
9669,NoWhale
3245,RightWhale
9547,NoWhale
1721,NoWhale
4035,NoWhale
6223,RightWhale
4480,NoWhale
8955,RightWhale
2794,RightWhale
6946,NoWhale
8722,NoWhale
524,RightWhale
862,NoWhale
2094,NoWhale
947,RightWhale
3544,RightWhale
1444,RightWhale
1280,NoWhale
10285,NoWhale
122,RightWhale
6084,NoWhale
4277,NoWhale
4793,RightWhale
7391,RightWhale
9044,NoWhale
6624,NoWhale
2302,NoWhale
5641,NoWhale
8250,NoWhale
2004,RightWhale
9867,NoWhale
9532,RightWhale
1005,NoWhale
3399,RightWhale
7601,RightWhale
9491,NoWhale
3055,NoWhale
2885,RightWhale
4385,RightWhale
2132,NoWhale
5133,RightWhale
8354,RightWhale
10493,NoWhale
7182,RightWhale
2057,NoWhale
188,NoWhale
229,RightWhale
7132,RightWhale
6911,NoWhale
10904,RightWhale
7213,NoWhale
5830,NoWhale
3007,NoWhale
10317,NoWhale
9170,RightWhale
209,RightWhale
4010,RightWhale
2750,RightWhale
7654,RightWhale
6947,RightWhale
9896,NoWhale
280,NoWhale
2944,RightWhale
5950,NoWhale
2718,NoWhale
5597,RightWhale
5743,NoWhale
9873,RightWhale
1728,NoWhale
5027,NoWhale
337,NoWhale
6010,RightWhale
10327,NoWhale
2650,NoWhale
4561,RightWhale
9330,NoWhale
8448,NoWhale
8347,NoWhale
4812,NoWhale
9026,RightWhale
1226,RightWhale
8509,NoWhale
5200,RightWhale
2144,RightWhale
9611,NoWhale
5023,NoWhale
2111,RightWhale
5196,RightWhale
7727,RightWhale
4329,RightWhale
4064,NoWhale
3110,NoWhale
5351,NoWhale
1017,RightWhale
9908,NoWhale
4094,NoWhale
7768,RightWhale
1928,NoWhale
8604,NoWhale
350,NoWhale
10642,RightWhale
2201,NoWhale
5046,NoWhale
1934,NoWhale
3524,NoWhale
8254,RightWhale
5814,NoWhale
7439,NoWhale
4847,NoWhale
6072,RightWhale
564,NoWhale
1582,RightWhale
4608,RightWhale
2175,NoWhale
8028,RightWhale
2540,RightWhale
6492,RightWhale
4877,NoWhale
4786,NoWhale
2707,NoWhale
3372,RightWhale
10795,RightWhale
2228,RightWhale
1115,NoWhale
7277,NoWhale
4463,NoWhale
3742,NoWhale
6973,RightWhale
6351,NoWhale
5632,RightWhale
9055,RightWhale
8583,RightWhale
3429,RightWhale
821,NoWhale
2063,NoWhale
2272,RightWhale
6695,NoWhale
81,RightWhale
1323,RightWhale
10788,RightWhale
4872,RightWhale
1614,RightWhale
2697,NoWhale
831,RightWhale
4802,NoWhale
6216,NoWhale
2420,RightWhale
9297,RightWhale
8979,NoWhale
2833,RightWhale
8034,RightWhale
7578,RightWhale
6620,RightWhale
1649,RightWhale
8302,NoWhale
10447,NoWhale
3912,NoWhale
8386,NoWhale
8090,NoWhale
8391,NoWhale
10406,RightWhale
9527,NoWhale
3635,NoWhale
2689,RightWhale
10132,RightWhale
3529,NoWhale
749,NoWhale
9321,NoWhale
2373,NoWhale
2442,NoWhale
5654,RightWhale
5009,RightWhale
2758,NoWhale
9536,RightWhale
8535,NoWhale
9158,RightWhale
8481,RightWhale
5440,RightWhale
9781,NoWhale
10625,NoWhale
7838,NoWhale
6400,NoWhale
7765,RightWhale
4999,NoWhale
8060,RightWhale
10044,RightWhale
9930,NoWhale
1139,RightWhale
8664,NoWhale
2231,RightWhale
2164,RightWhale
2886,RightWhale
7234,NoWhale
7988,NoWhale
2777,RightWhale
7008,RightWhale
6727,RightWhale
1570,RightWhale
172,NoWhale
639,NoWhale
4055,RightWhale
2087,NoWhale
3128,RightWhale
2400,NoWhale
5501,RightWhale
1143,NoWhale
9616,RightWhale
6113,NoWhale
5936,RightWhale
9174,NoWhale
3881,NoWhale
1832,RightWhale
6165,NoWhale
10154,NoWhale
9993,NoWhale
8921,NoWhale
5639,NoWhale
4619,RightWhale
10768,RightWhale
8959,NoWhale
834,NoWhale
2486,NoWhale
8200,NoWhale
4734,RightWhale
5470,NoWhale
4004,RightWhale
4574,NoWhale
5411,RightWhale
819,RightWhale
65,NoWhale
7172,RightWhale
9852,NoWhale
2024,RightWhale
5152,NoWhale
354,NoWhale
4838,RightWhale
10628,RightWhale
9284,RightWhale
1808,RightWhale
8111,RightWhale
6045,RightWhale
4972,RightWhale
8889,NoWhale
4960,RightWhale
5202,NoWhale
5338,NoWhale
3902,RightWhale
472,NoWhale
7983,RightWhale
3127,NoWhale
3656,NoWhale
6347,NoWhale
10677,NoWhale
4900,RightWhale
4012,RightWhale
868,RightWhale
4772,NoWhale
7735,NoWhale
8473,RightWhale
1506,RightWhale
6227,RightWhale
6889,RightWhale
6608,RightWhale
3647,RightWhale
7224,RightWhale
8874,NoWhale
2770,RightWhale
10212,RightWhale
10409,RightWhale
6995,RightWhale
4738,RightWhale
1075,NoWhale
6208,RightWhale
5317,NoWhale
8855,NoWhale
3209,NoWhale
9591,NoWhale
8127,RightWhale
6693,RightWhale
10355,RightWhale
5736,NoWhale
4698,RightWhale
7615,RightWhale
2379,NoWhale
7108,NoWhale
1602,NoWhale
73,NoWhale
4896,NoWhale
4454,NoWhale
5270,RightWhale
8062,NoWhale
3428,NoWhale
5288,RightWhale
1101,NoWhale
4228,NoWhale
10435,NoWhale
7021,NoWhale
313,RightWhale
3955,RightWhale
3557,RightWhale
7829,RightWhale
5709,NoWhale
118,RightWhale
2022,NoWhale
10808,NoWhale
9243,NoWhale
7625,RightWhale
2034,RightWhale
3894,RightWhale
2856,RightWhale
9488,NoWhale
4598,RightWhale
1219,NoWhale
7598,NoWhale
5013,NoWhale
4161,NoWhale
4129,NoWhale
2510,RightWhale
4395,RightWhale
9053,NoWhale
4969,RightWhale
6181,RightWhale
10622,RightWhale
3971,RightWhale
4372,RightWhale
177,RightWhale
1643,RightWhale
10167,RightWhale
4113,RightWhale
8000,NoWhale
1374,NoWhale
1720,NoWhale
8613,RightWhale
6953,NoWhale
2264,RightWhale
87,RightWhale
4881,RightWhale
10413,NoWhale
3382,RightWhale
6428,RightWhale
9514,RightWhale
403,NoWhale
4299,RightWhale
3350,NoWhale
9610,NoWhale
4030,NoWhale
9519,RightWhale
9429,NoWhale
7873,NoWhale
6952,NoWhale
7482,NoWhale
2456,NoWhale
3995,RightWhale
6300,RightWhale
2214,NoWhale
1027,RightWhale
10616,RightWhale
1421,RightWhale
2436,RightWhale
8239,NoWhale
6700,NoWhale
10121,RightWhale
1278,NoWhale
9149,RightWhale
5629,RightWhale
2760,NoWhale
6339,NoWhale
6110,RightWhale
7946,RightWhale
1978,NoWhale
1061,RightWhale
10159,RightWhale
1425,RightWhale
5467,RightWhale
10515,RightWhale
8752,RightWhale
1502,RightWhale
10654,NoWhale
9379,NoWhale
3942,RightWhale
6560,RightWhale
9396,RightWhale
7387,NoWhale
678,RightWhale
2577,RightWhale
7535,NoWhale
3098,NoWhale
7089,RightWhale
10041,NoWhale
10646,NoWhale
4657,RightWhale
102,NoWhale
957,NoWhale
5332,RightWhale
8876,NoWhale
6862,NoWhale
1070,NoWhale
6720,RightWhale
2688,NoWhale
3837,RightWhale
7219,NoWhale
9433,RightWhale
3392,NoWhale
10626,NoWhale
7090,NoWhale
4112,RightWhale
3282,RightWhale
5397,NoWhale
